author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/312938423/;Москва;rent;flat;2;14;1;45.0;85000;0;Марьина роща;Тихвинская ;10;Менделеевская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311413970/;Москва;rent;flat;8;9;2;78.0;165000;0;Мещанский;Малая Сухаревская площадь;3;Сухаревская
Князев и Партнёры;real_estate_agent;https://www.cian.ru/rent/flat/310634998/;Москва;rent;flat;8;14;1;45.0;140000;0;Раменки;Ломоносовский проспект;25к5;Университет
Светлана Биличенко;realtor;https://www.cian.ru/rent/flat/309998170/;Москва;rent;flat;6;8;1;40.0;85000;0;Басманный; Земляной Вал;39/1С1;Чкаловская
MODERN HOME;real_estate_agent;https://www.cian.ru/rent/flat/312508035/;Москва;rent;flat;8;8;2;57.6;180000;0;Хорошево-Мневники; Нижние Мневники;9;Терехово 
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311867976/;Москва;rent;flat;3;17;1;35.2;49800;0;Южное Бутово;Варшавское шоссе;282к2;Щербинка
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/312460943/;Москва;rent;flat;16;20;2;86.0;210000;0;Раменки;Мосфильмовская ;88к2с7;Раменки
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/312807308/;Москва;rent;flat;5;25;1;41.0;65000;0;Очаково-Матвеевское;Большая Очаковская ;3;Аминьевская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/308855358/;Москва;rent;flat;25;33;1;19.7;49500;0;Западное Дегунино;Базовская ;15Бк3;Грачёвская
Суламит-НГС;real_estate_agent;https://www.cian.ru/rent/flat/312532499/;Москва;rent;flat;18;48;1;35.0;85000;0;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/307209725/;Москва;rent;flat;12;35;1;42.0;115000;0;Останкинский; Годовикова;11к2;Алексеевская
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/311347386/;Москва;rent;flat;5;5;2;45.0;50000;0;Северное Тушино; Героев Панфиловцев;27К1;Планерная
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/310684652/;Москва;rent;flat;5;10;1;47.0;75000;0;; Татьянин Парк;14к4;Говорово
Светлана Биличенко;realtor;https://www.cian.ru/rent/flat/312941106/;Москва;rent;flat;6;15;1;42.0;100000;0;Богородское;Краснобогатырская ;40к5;Преображенская площадь
ID 55394;real_estate_agent;https://www.cian.ru/rent/flat/252630966/;Москва;rent;flat;11;12;1;40.0;50000;0;Бибирево; Плещеева;8;Бибирево
Vmestate;real_estate_agent;https://www.cian.ru/rent/flat/312674176/;Москва;rent;flat;3;5;2;75.0;300000;0;Хамовники; Остоженка;7С1;Кропоткинская
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/rent/flat/310770112/;Москва;rent;flat;5;31;2;154.0;300000;0;Очаково-Матвеевское;Нежинская ;1к1;Давыдково
KAIF;real_estate_agent;https://www.cian.ru/rent/flat/312429419/;Москва;rent;flat;10;30;2;45.0;100000;0;Южнопортовый;Волгоградский проспект;32/5к2;Угрешская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312380309/;Москва;rent;flat;7;10;1;47.0;110000;0;Щукино; Маршала Рыбалко;2к9;Панфиловская
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/310506103/;Москва;rent;flat;32;32;2;56.0;100000;0;Нижегородский;Газгольдерная ;10;Нижегородская
Александра  Демчук;realtor;https://www.cian.ru/rent/flat/311135160/;Москва;rent;flat;3;9;2;63.0;135000;0;Хорошево-Мневники;Причальный проезд;8к1;Шелепиха
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312801523/;Москва;rent;flat;18;19;1;19.8;52600;0;Митино;Муравская ;38Бк3;Пятницкое шоссе
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310272405/;Москва;rent;flat;3;37;2;65.0;300000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311470685/;Москва;rent;flat;18;33;2;50.0;99500;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
EMPIRE;real_estate_agent;https://www.cian.ru/rent/flat/312725314/;Москва;rent;flat;11;17;2;53.6;75000;0;Тропарево-Никулино; Академика Анохина;13;Юго-Западная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311197162/;Москва;rent;flat;29;33;1;39.4;78200;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/311054314/;Москва;rent;flat;5;9;2;97.0;140000;0;Проспект Вернадского; Удальцова;32к1;Мичуринский проспект
Московский Квартал;real_estate_agent;https://www.cian.ru/rent/flat/313046424/;Москва;rent;flat;1;7;2;56.0;65000;0;Останкинский;Большая Марьинская ;7К2;Алексеевская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/311736084/;Москва;rent;flat;7;22;2;70.0;107000;0;Ховрино;Фестивальная ;49/40;Речной вокзал
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311373684/;Москва;rent;flat;24;33;2;61.1;104600;0;Отрадное;Сигнальный проезд;16к1;Владыкино
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/313090187/;Москва;rent;flat;7;17;1;33.0;80000;0;Лефортово;проезд Невельского;6к2;Авиамоторная
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311083017/;Москва;rent;flat;21;33;1;42.0;73000;0;Царицыно;Кавказский бульвар;51к2;Кавказский бульвар
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312666430/;Москва;rent;flat;1;17;1;37.5;63400;0;Люблино; Верхние Поля;49К1;Люблино
ID 105755474;homeowner;https://www.cian.ru/rent/flat/312510865/;Москва;rent;flat;16;24;2;55.5;89000;0;;бульвар Андрея Тарковского;11;Рассказовка
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311472138/;Москва;rent;flat;27;33;2;61.4;99500;0;Отрадное;Сигнальный проезд;16к1;Владыкино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311000597/;Москва;rent;flat;16;23;1;45.7;78200;0;Текстильщики;1-й Грайвороновский проезд;13к2;Новохохловская
Тимур Данилян;realtor;https://www.cian.ru/rent/flat/312492571/;Москва;rent;flat;2;33;1;27.0;60000;0;Дмитровский;Лобненская ;13к4;Лианозово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312342123/;Москва;rent;flat;22;24;1;43.4;75000;0;Нижегородский;Новохохловская ;15к1;Новохохловская
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/312922473/;Москва;rent;flat;7;11;2;50.0;150000;0;Даниловский; Архитектора Щусева;5к2;ЗИЛ
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/312339001/;Москва;rent;flat;16;17;1;37.7;65000;0;Нагорный;Артековская ;1;Варшавская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312947024/;Москва;rent;flat;7;15;2;91.0;230000;0;Тверской;4-я Тверская-Ямская ;22к2;Маяковская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/311736603/;Москва;rent;flat;18;18;2;66.0;150000;0;Богородское;Краснобогатырская ;24;Преображенская площадь
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/313057860/;Москва;rent;flat;8;16;2;60.0;100000;0;Ховрино; Дыбенко;36к4;Ховрино
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312717440/;Москва;rent;flat;8;41;1;42.0;160000;0;Хорошевский;Ленинградский проспект;37/5;Аэропорт
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/311432811/;Москва;rent;flat;23;32;2;82.0;130000;0;Тропарево-Никулино;проспект Вернадского;105к4;Юго-Западная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/309578801/;Москва;rent;flat;5;6;2;58.0;170000;0;Басманный;Малый Казенный переулок;12С1;Курская
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/311276148/;Москва;rent;flat;4;21;2;80.0;120000;0;Обручевский; Воронцовские Пруды;3;Воронцовская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312143404/;Москва;rent;flat;3;12;1;37.6;52600;0;Митино;переулок Ангелов;9;Пятницкое шоссе
Penny Lane Moscow;real_estate_agent;https://www.cian.ru/rent/flat/310431064/;Москва;rent;flat;4;9;1;45.0;95000;0;Хамовники; Плющиха;42;Киевская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/312216046/;Москва;rent;flat;17;30;2;42.0;90000;0;Войковский; Адмирала Макарова;6А;Водный стадион
