author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062277/;Москва;sale;flat;4;7;2;65.0;94000000;Хамовники;Комсомольский проспект;42С2;Спортивная;Clerkenwell House
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308017227/;Москва;sale;flat;3;24;2;78.0;46900000;Раменки;Мичуринский проспект;7;Ломоносовский проспект;Квартал Шуваловский
Фармэллинрус;developer;https://www.cian.ru/sale/flat/308087259/;Москва;sale;flat;4;20;1;28.25;11059500;Аэропорт; Академика Ильюшина;21;Гражданская;DIUS. Многофункциональный комплекс резиденций
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/312101863/;Москва;sale;flat;3;21;2;66.5;64900000;Пресненский; Сергея Макеева;9к4;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/313024452/;Москва;sale;flat;6;40;1;43.0;21000000;Даниловский;бульвар Братьев Весниных;1;ЗИЛ;ЗИЛАРТ
Спартак;developer;https://www.cian.ru/sale/flat/297680770/;Москва;sale;flat;13;14;1;108.0;27594000;Ясенево;Новоясеневский проспект;3В;Тёплый Стан;Комплекс апартаментов LES
Яна Короткая;realtor;https://www.cian.ru/sale/flat/312969339/;Москва;sale;flat;20;33;1;35.0;25500000;Хорошево-Мневники;Причальный проезд;10к1;Шелепиха;Level Причальный
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/312415422/;Москва;sale;flat;4;16;1;34.5;12000000;Котловка;Большая Черемушкинская ;9К3;Крымская;
Среда;developer;https://www.cian.ru/sale/flat/309590061/;Москва;sale;flat;11;44;2;60.75;24620152;Кунцево;48-й кв-л;;Кунцевская;Среда на Кутузовском ЖК
ID 91109179;real_estate_agent;https://www.cian.ru/sale/flat/312930600/;Москва;sale;flat;29;75;2;107.0;65000000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
COLDY;developer;https://www.cian.ru/sale/flat/310880446/;Москва;sale;flat;3;14;2;164.03;514234050;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Основа;developer;https://www.cian.ru/sale/flat/296120171/;Москва;sale;flat;7;28;2;43.1;17567560;Хорошево-Мневники;;;Звенигородская;Эмоушен ЖК
Soul Estate;real_estate_agent;https://www.cian.ru/sale/flat/302074228/;Москва;sale;flat;14;20;2;144.0;150000000;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312582974/;Москва;sale;flat;4;4;1;42.1;18000000;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
MR Group;developer;https://www.cian.ru/sale/flat/300288624/;Москва;sale;flat;7;36;2;61.1;36452871;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/294650795/;Москва;sale;flat;3;5;2;44.0;47900000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
